,Timestamp,LocationName,PalletId,WarehouseSku,CustomerLotReference,Qty,Note,SelectedLOT
0,2025-10-08 20:06:00,11302102,8304174095,G1HCS000484,9063194,5,Moved to location 11302101,9063194
1,2025-10-08 20:12:10,11400804,8304176794,G60CS000329,9062715,5,Moved to location 11300701,9062715
